0.233557	0.376383	0.516648	0.608862	0.619856	0.541149	0.395403	0.233442	0.120192	0.111529	0.229024	0.444028	0.682451	0.853253	0.889220	0.778118	0.566483	0.335441	0.164166	0.100135	0.147197	0.271590	0.419174	0.535599	0.582860	0.548529	0.446672	0.311525	0.186375	0.110764
0.275007	0.417097	0.539849	0.602583	0.581575	0.479595	0.328551	0.182885	0.103523	0.135469	0.286216	0.515169	0.743132	0.882785	0.878047	0.731185	0.501387	0.275907	0.131260	0.104735	0.186681	0.331704	0.479856	0.578207	0.596192	0.531852	0.409148	0.268576	0.154315	0.101402
0.318043	0.453929	0.555102	0.587358	0.537051	0.417500	0.267966	0.144043	0.100468	0.170292	0.347412	0.581249	0.790339	0.893846	0.848503	0.671035	0.431524	0.220578	0.109259	0.122771	0.237553	0.397718	0.539707	0.614450	0.600656	0.507471	0.368070	0.227524	0.128849	0.100854
0.361138	0.485663	0.562066	0.563966	0.488001	0.356941	0.215306	0.117431	0.110011	0.213559	0.409355	0.639116	0.821964	0.886019	0.802018	0.600548	0.360411	0.172628	0.100155	0.154636	0.298717	0.467605	0.596573	0.642807	0.595821	0.476070	0.324852	0.189884	0.110959	0.109174
0.402808	0.511284	0.560671	0.533406	0.436187	0.299801	0.171810	0.103041	0.130682	0.262634	0.468980	0.686229	0.836845	0.859981	0.741012	0.523277	0.291793	0.135011	0.105406	0.200067	0.368498	0.538993	0.648240	0.661935	0.581554	0.438613	0.281052	0.157131	0.101443	0.126181
0.441651	0.530000	0.551114	0.496858	0.383365	0.247730	0.138309	0.100405	0.160683	0.314843	0.523567	0.720763	0.834783	0.817411	0.668718	0.443208	0.229383	0.110241	0.125774	0.258065	0.444646	0.609221	0.692514	0.670737	0.558059	0.396335	0.238338	0.130667	0.100888	0.151455
0.476375	0.541244	0.533835	0.455645	0.331241	0.202120	0.115239	0.108673	0.198004	0.367604	0.570845	0.741644	0.816474	0.760817	0.588925	0.364466	0.176588	0.100169	0.161192	0.326855	0.524377	0.675425	0.727312	0.668433	0.525897	0.350730	0.198450	0.111770	0.109649	0.184348
0.505825	0.544690	0.509500	0.411185	0.281427	0.164090	0.102674	0.126687	0.240531	0.418540	0.609058	0.748527	0.783386	0.693321	0.505695	0.291015	0.136245	0.105801	0.210680	0.403904	0.604455	0.734656	0.750771	0.654626	0.486011	0.303529	0.163155	0.101566	0.127830	0.223984
0.529011	0.540250	0.478975	0.364963	0.235411	0.134477	0.100358	0.153050	0.286137	0.465547	0.636985	0.741734	0.737597	0.618399	0.423066	0.226379	0.110400	0.127180	0.272340	0.485996	0.681327	0.784020	0.761367	0.629370	0.439732	0.256667	0.134196	0.100973	0.155263	0.269278
0.545129	0.528076	0.443307	0.318486	0.194526	0.113837	0.107741	0.186197	0.332761	0.506853	0.653930	0.722157	0.681612	0.539649	0.344789	0.173407	0.100168	0.163348	0.343421	0.569385	0.751305	0.820856	0.758032	0.593228	0.388776	0.212231	0.113232	0.110667	0.191501	0.318950
